smiles,sol
CC(=O)CC1CCCCN1,-0.45
OC1=CC=CN=C1,-0.46
COC(=O)C1=CC=CN=C1,-0.46
CC1=NC=NC2=C1N=CC=N2,-0.47
NCC(O)C1=CC=CC=C1,-0.48
CN1C2CC(CC1C1OC21)OC(=O)C(CO)C1=CC=CC=C1,-0.48
CCCOC=O,-0.49
NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,-0.5
CC(C)(C)CCO,-0.5
NC(CC1=CNC=N1)C(O)=O,-0.53
CCCC(O)C(CC)CO,-0.54
NC(CCC(N)=O)C(O)=O,-0.55
CC1CO1,-0.59
O=C1CCCCC1,-0.6
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
CC(O)C(C)(C)C,-0.62
CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,-0.63
ClCCl,-0.63
CCCCOC(N)=O,-0.66
CCCOCC,-0.66
CCOC(=O)CC,-0.66
CC1=CC(O)=CC=C1,-0.68
O=CNC1=CC=CC=C1,-0.68
OC1=CC=C(Cl)C=C1,-0.7
OC1=CC=CC(Cl)=C1,-0.7
CC1=CC=C(O)C=C1,-0.7
CCC(O)C(C)C,-0.7
OCCOC1=CC=CC=C1,-0.71
CCC(C)C(C)O,-0.72
CCCOC(C)=O,-0.72
CC(C)(C)C(C)(C)O,-0.72
NC1=CC=CC=C1O,-0.72
CCOC(=O)C=C,-0.74
OC1=CC=C(C=C1)N(=O)=O,-0.74
ONC1=CC=CC=C1,-0.74
NC(CC(N)=O)C(O)=O,-0.74
OCC1OC(OCC2OC(OC(C#N)C3=CC=CC=C3)C(O)C(O)C2O)C(O)C(O)C1O,-0.77
CCOCCOCC,-0.77
N1N=NC2=C1C=CC=C2,-0.78
NC1=CC=C(O)C=C1,-0.8
CN1C=CC(=O)NC1=O,-0.8
CCCC(O)CC,-0.8
COC(=O)C(C)=C,-0.8
CC(C)(C)COC(N)=O,-0.8
CCOC(=O)CC(=O)OCC,-0.82
O1C=CC=C1,-0.82
CCCC(=O)OC,-0.82
C=CCSS(=O)CC=C,-0.83
CCCC(=O)C=C,-0.83
OC(=O)C1=CN=CC=C1,-0.84
CCCCC=O,-0.85
CN(N=O)C(N)=O,-0.85
CCOC=C,-0.85
CC1=CC(N)=CC=C1,-0.85
CCC(O)(CC)CC,-0.85
OCC1OC(OC2=CC=CC=C2CO)C(O)C(O)C1O,-0.85
OC1=C(C=O)C=CC=C1,-0.86
ClC1=NC2=C(C=NC=N2)N=C1,-0.87
CC1CCC(O)CC1,-0.88
CCCC(C(C)=O)C(C)=O,-0.88
ClCBr,-0.89
OC(=O)CC1=CC=CC=C1,-0.89
CC(=O)NC(N)=O,-0.9
COC1=NC2=C(C=NC=N2)N=C1,-0.91
CC(O)C1=CC=CC=C1,-0.92
CC(C)CC(C)(C)O,-0.92
CCOC(=O)CCC(=O)OCC,-0.96
CC=CCC#N,-0.96
NC(=O)C1=CC=CC=C1,-0.96
OC1=CC=C(C=O)C=C1,-0.96
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.97
CC(=O)NC1=CC=C(N)C=C1,-0.98
O=C1C=CC(=O)C=C1,-0.99
CCCCOC,-0.99
CI,-1.0
CCCC(C)(O)CC,-1.0
CC(C)COC=O,-1.01
CC(=O)NC1=CC=C(O)C=C1,-1.03
C1CC2=CC=CC=C2N1,-1.04
FC1=CNC(=O)NC1=O,-1.07
CCCCC(C)(C)O,-1.08
OC1=CC=C(Br)C=C1,-1.09
CCBr,-1.09
CC(C)OC(C)C,-1.1
OC(=O)COC1=CC=CC=C1,-1.1
COC1=NC=C2N=CC=NC2=N1,-1.11
COC1=NC=NC2=C1N=CC=N2,-1.11
NCCC1=CC=C(O)C=C1,-1.12
CC1CC(C)C(=O)C(C1)C(O)CC1CC(=O)NC(=O)C1,-1.13
CC(C)CCCO,-1.14
NC1=NC(=O)NC=C1,-1.14
O1C=NC2=C1C=CC=C2,-1.16
ClCCS(=O)CCCl,-1.16
CCC(CC)CO,-1.17
ClC(Cl)Cl,-1.17
CC1=CC=C(O)C(C)=C1,-1.19
O=CC1=CC=CC=C1,-1.19
CC1=CC=C(CO)C=C1,-1.2
COC(=O)C1C2CC(C=C2)C1C(=O)OC,-1.2
CC(C)COC(=O)C=C,-1.21
CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1,-1.22
CC(C)C(O)C(C)C,-1.22
NC(CC1=CNC2=C1C=CC=C2)C(O)=O,-1.23
CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,-1.23
CCCCOC(C)=O,-1.24
CCCCCCO,-1.24
O=C1NC(=O)C(=O)C(=O)N1,-1.25
CCC(C)(O)C(C)(C)C,-1.27
CC(=O)C1=CC=CC=C1,-1.28
CC(=O)C1=CC(N)=CC=C1,-1.28
CCCC(=O)OCC,-1.28
CC(Cl)Cl,-1.29
COC1=CC=C(NC(C)=O)C=C1,-1.3
C1=CC2=C(C=C1)N=CC=C2,-1.3
CCCCCC=O,-1.3
ClCCBr,-1.32
CC(=O)NC1=CC=CC=C1,-1.33
CC(C)CCC(C)=O,-1.33
CCC1=CC=CC=C1O,-1.36
CCCCC(=O)OC,-1.36
NC(=N)NN(=O)=O,-1.37
NC1=CC=CC(Cl)=C1,-1.37
OCCCC1=CC=CC=C1,-1.38
CC(C)CCC(C)O,-1.38
CCC1(CC)C(=O)NC(=O)NC1=O,-1.39
CC1=CC(O)=CC(C)=C1,-1.4
CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,-1.4
CC(=O)NC1=CC=CC=C1Cl,-1.4
CCCC(O)CCC,-1.4
OC(=O)CCC1=CC=CC=C1,-1.41
CCCCCC(C)=O,-1.42
C1=CN=C(C=C1)C1=CC=CC=N1,-1.42
CC1=CC=CC(O)=C1C,-1.43
CCCCNCCCC,-1.44
S1C=CC=C1,-1.45
C1=CC2=C(C=C1)C=NC=C2,-1.45
OC(=O)C1=CSC=C1,-1.47
CCCCl,-1.47
ClCC(Cl)Cl,-1.48
COC1=CC=C(C=O)C=C1,-1.49
ClCCS(=O)(=O)CCCl,-1.5
NC(=N)NCC(O)=O,-1.51
N1C=CC2=C1C=CC=C2,-1.52
CCCC(C)(C)CO,-1.52
NC1=CC=CC=C1C(O)=O,-1.52
COC1=C2OC3C(O)C=CC4C5CC(C=C1)=C2C34CCN5C,-1.52
NCC1=CC=CC=C1,-1.53
C1=CC(=CC=N1)C1=CC=NC=C1,-1.54
CC1=CC=C(C)C(O)=C1,-1.54
CC(C)(C)CCCO,-1.55
OC(=O)C1=CC=CC=C1,-1.55
CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,-1.55
CSC1=NC2=C(C=NC=N2)N=C1,-1.55
OC1=CC=C(Cl)C=C1Cl,-1.55
CCCCCC(C)O,-1.55
CCCCC(=O)CC(C)=O,-1.56
COC1=C(O)C=CC(CC=C)=C1,-1.56
CN1C(=O)NC2=C(NC(=O)N2)C1=O,-1.56
CC1=CC(O)=CC=C1Cl,-1.57
CNC(=O)OC1=C(C=CC=C1)C1OCCO1,-1.57
CC(=O)NC1=CC=C(C=O)C=C1,-1.58
COC(=O)C1=CC=C(N)C=C1,-1.59
C1OC1C1=CC=CC=C1,-1.6
CC(Cl)CCl,-1.6
CC(C)CC(=O)CC(C)=O,-1.6
COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C,-1.6
OC(=O)C1=C(C=CC=C1)C(F)(F)F,-1.6
CC(C)CC(C)CO,-1.6
CN(C)C(=O)NC1=CC=CC=C1,-1.6
CC(=O)NC1=CC=C(C=C1)S(N)(=O)=O,-1.61
COC1=CC=C(CC2NCC(O)C2OC(C)=O)C=C1,-1.61
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
ClC(Cl)C(=O)N(CC=C)CC=C,-1.62
ClCCCCl,-1.62
CCCOCCC,-1.62
O=CC1=CC2=C(OCO2)C=C1,-1.63
C1=CC=CC=C1,-1.64
ClC(Cl)=C,-1.64
O=C1NS(=O)(=O)C2=CC=CC=C12,-1.64
CC12CCC(CC1)C(C)(C)O2,-1.64
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64
NC1=CC=C(Cl)C=C1,-1.66
CCCC(C)(COC(N)=O)COC(N)=O,-1.67
CC(=O)OC1CCCCC1,-1.67
OC(=O)C1=CC=CC(=C1)N(=O)=O,-1.68
BrCCBr,-1.68
COC1=C(C(O)=O)C(Cl)=CC=C1Cl,-1.7
CCNC1=CC=CC=C1,-1.7
CCCCCCC=O,-1.7
FC(F)(F)C(Cl)Br,-1.71
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-1.71
CCCCCC(C)(C)O,-1.72
CCCCC(C)C(C)O,-1.72
OC1=CC=C(O)C(=C1)C1(O)C=CC(=O)C=C1,-1.73
CCCBr,-1.73
OC1=CC=CC=C1N(=O)=O,-1.74
ClC(Cl)C(Cl)Cl,-1.74
CC1=CC=C(C=C1)S(N)(=O)=O,-1.74
CCCCC(=O)OCC,-1.75
CSC1=NC=C2N=CC=NC2=N1,-1.76
NC(=O)C1=CC=CC=C1O,-1.76
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,-1.76
CC=CC=CC(O)=O,-1.77
NC(=S)NC1=CC=CC=C1,-1.77
O=C1CSC(=S)N1,-1.77
COC(=O)C1=CC=C(O)C=C1,-1.78
CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,-1.78
CC(=O)NC1=CC=C(F)C=C1,-1.78
O=N(=O)C1=CC=CC=C1,-1.8
CNC(=O)OC1=CC(C)=CC=C1,-1.8
FC1=CC=CC=C1,-1.8
CCCCCCCO,-1.81
OC(=O)C1=CC=CC=C1O,-1.82
CCC(=O)C1=CC=CC=C1,-1.83
CN1N=C(SC1=NC(C)=O)S(N)(=O)=O,-1.83
CC12C3C(C(O)=O)C45CC(=C)C(O)(C4)CCC5C3(OC1=O)C=CC2O,-1.84
CCCCOCCCC,-1.85
COC1=CC=CC=C1,-1.85
CCCC(CCC)C(O)=O,-1.86
COC1=C(O)C2=C(CCC34C=CC(=O)CC23CCN4C)C=C1,-1.87
CC1CCCC(=O)C1,-1.87
C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89
CCCCCOC(C)=O,-1.89
CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,-1.89
COC1=CC=C2COC(=O)C2=C1OC,-1.89
OC(=O)CCCCCCCC(O)=O,-1.89
ClC(Br)Br,-1.9
BrC(Br)Br,-1.91
CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1,-1.91
CC(=O)NC1=CC=C(OC(C)=O)C=C1,-1.91
CCCOC(=O)CCC,-1.92
COC1=C(OC)C(C(O)=O)=C(C=O)C=C1,-1.92
CCCCCCOC(N)=O,-1.92
CN(C)C1=CC=CC=C1,-1.92
CCC(=O)NC1=CC=CC=C1,-1.92
CC(C)CCOC(C)=O,-1.92
OC(=O)C1=CC(=O)NC(=O)N1,-1.93
OC(C(O)C1=CC=CC=C1)C1=CC=CC=C1,-1.93
CCC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,-1.94
CC1=CC=C2C=CC(C)=NC2=C1,-1.94
CN(C)C(=O)OC1=NC(=NC(C)=C1C)N(C)C,-1.95
COC1=CC=CC=C1N(=O)=O,-1.96
OC(=O)C=CC1=CNC=N1,-1.96
CCC(C)Cl,-1.96
NC1=CC=CC=C1N(=O)=O,-1.96
C1C=CCC=C1,-1.97
OC1=CC=C2CCCCC2=C1,-1.99
CC(Cl)(Cl)Cl,-2.0
CC1=CC=CC=C1S(N)(=O)=O,-2.02
CCCCCl,-2.03
CCCCCCC(C)=O,-2.05
CNC(=O)OC1=CC=CC=C1OC(C)C,-2.05
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,-2.06
OC(=O)C(=C)C1=CC=CC=C1,-2.06
CC(=C)C1CC=C(C)C(=O)C1,-2.06
CC1=CC=CC=C1C(O)=O,-2.06
OC1CCN2C(O)C3=CC=CC=C3N=C12,-2.07
OC(=O)CC1=CNC2=C1C=CC=C2,-2.07
CC(C)C1=CC(O)=C(C)C=C1,-2.08
CC(=O)NC1=CC(C)=CC=C1,-2.09
CN(C)C(=O)OC1=CC(C)=NN1C1=CC=CC=C1,-2.09
CC(C)I,-2.09
C=CCC=C,-2.09
CCCCCCC(C)O,-2.09
COC1=CC2=C(C=C1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC34,-2.09
OCC1=C(Cl)C=CC=C1Cl,-2.1
CCCCC(CC)CO,-2.11
OC(=O)C1=CC=CC=C1C(O)=O,-2.11
CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)C1=CC=CC=C1,-2.12
SC1=CC=CC=C1,-2.12
NC1=NC=NC2=C1N=CN2,-2.12
CN1CSC(=S)N(C)C1,-2.13
CC1=CC=CC(=C1)C(O)=O,-2.14
O=C1NC2=CC=CC=C2C=C1,-2.14
CC(C)CNC(=O)N1CCNC1=O,-2.15
C1C=CC=CC=C1,-2.15
OC(=O)COC1=CC=CC=C1Cl,-2.16
OC1=CC=C2N=CC=CC2=C1,-2.16
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,-2.17
CCOC1=CC=C(NC(N)=O)C=C1,-2.17
C=CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,-2.18
CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1,-2.18
ClCC(Cl)(Cl)Cl,-2.18
ON=CC1=CC=C(O1)N(=O)=O,-2.19
NC1=CC=CC(=C1)N(=O)=O,-2.19
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21
[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])[H],-2.21
OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,-2.21
OC1=CC=CC2=C1C=CC=C2,-2.22
CC(C)C1=C(O)C=C(C)C=C1,-2.22
CC(OC1=CC=CC=C1Cl)C(O)=O,-2.22
O=N(=O)OCC(CON(=O)=O)ON(=O)=O,-2.22
CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23
CC1=CC(Cl)=CC=C1OCC(O)=O,-2.23
CCCCC1=C(O)N=C(N=C1C)N(C)C,-2.24
CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC(C)=N1,-2.24
CC(=O)NC1=CC=CC=C1O,-2.24
O=C1NC(=S)NC=C1,-2.26
OC1=CC2=C(C=CC=C2)C=C1,-2.28
O=C1NC(=O)C(C(=O)N1)N(=O)=O,-2.28
CCCI,-2.29
CCCCCCCC(O)=O,-2.3
CCOP(=S)(OCC)OC1=CC=C(C=C1)S(C)=O,-2.3
FC1=CC(F)=C(F)C(F)=C1,-2.31
ClC(Cl)(Cl)Cl,-2.31
CCOC(=O)C1=CC=CC=C1,-2.32
CC1(C)C2CCC1(C)C(O)C2,-2.32
NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=NN1C1=CC=CC=C1,-2.32
CCCOC(=O)C1=CC=C(N)C=C1,-2.33
NNC(=O)NC1=CC=CC=C1,-2.33
COC(=O)C1=C(O)C=CC=C1,-2.34
OC1=C(Cl)C=C(Cl)C=C1Cl,-2.34
CCC1(CCC(=O)NC1=O)C1=CC=CC=C1,-2.34
CCC1=CC=CC(CC)=C1N,-2.35
CCOC(=O)C1=CC=CC=C1C(=O)OCC,-2.35
CCOC(=O)C1=CC=C(O)C=C1,-2.35
CCCCCCCC=O,-2.36
CCCCC#C,-2.36
CN(C)C(=O)NC1CCCCCCC1,-2.36
CSC1=NC=NC2=C1N=CC=N2,-2.36
S=C1NC2=C(C=N1)N=CC=N2,-2.36
CCOC1=CC=C(NC(C)=O)C=C1,-2.37
CCCCBr,-2.37
ClC1=CC=CC=C1,-2.38
ClCC(Br)CBr,-2.38
N#CC1=CC=CC=C1C#N,-2.38
OC1=NC=NC2=C1C=NN2,-2.38
ClCC1=CC=CC=C1,-2.39
OC1=CC=CC=C1C1=CC=CC=C1,-2.39
CSC1=CC=CC=C1,-2.39
CCCC(Cl)Cl,-2.4
COC(=O)C1=CC=C(OC)C=C1,-2.41
CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,-2.41
COC1=CC=C(C=C1)N(=O)=O,-2.41
CC1=CNC2=C1C=CC=C2,-2.42
CC(C)CBr,-2.43
CC1=CC(=O)NC(=S)N1,-2.43
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,-2.43
CC1=C(C(=O)NC2=CC=CC=C2)S(=O)(=O)CCO1,-2.43
CC1=CC=CC(=C1)N(=O)=O,-2.44
CC1=C(C)N=C(NS(=O)(=O)C2=CC=C(N)C=C2)O1,-2.44
CC1=C(O)N=C(S)N=C1,-2.45
CC(OC1=CC=C(Cl)C=C1Cl)C(O)=O,-2.45
NC1=CC(Cl)=CC(C(O)=O)=C1Cl,-2.47
CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,-2.48
OC(=O)C=CC1=CC=CC=C1,-2.48
CC(C)N(C(=O)CCl)C1=CC=CC=C1,-2.48
OC(=O)COC1=C(Cl)C=C(Cl)C=C1,-2.51
CN(C)C1C2CC3C(O)C4=C(Cl)C=CC(O)=C4C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)=C1O,-2.52
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52
COC1=C(O)C=C(Cl)C(Cl)=C1,-2.53
CCC=CC,-2.54
FC1=CC=C(CCl)C=C1,-2.54
OC1=CC=CC2=C1C=CC=N2,-2.54
COC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC(C)=N1,-2.54
CC(OC1=C(C)C=C(Cl)C=C1)C(O)=O,-2.55
CC1=C(CCCO1)C(=O)NC1=CC=CC=C1,-2.56
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.57
COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,-2.58
CCCCCCCC(C)=O,-2.58
C1CCC=CC1,-2.59
OC(=O)C1=CC(Cl)=CC=C1,-2.59
CCC1=CC=CS1,-2.59
C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1,-2.6
ClC(Cl)C(Cl)(Cl)Cl,-2.6
COC1=CC=C(C=C1)C(O)(C1CC1)C1=CN=CN=C1,-2.6
OC(=O)CN1C(=O)SC2=C1C(Cl)=CC=C2,-2.61
CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,-2.62
CCCCCCCOC(N)=O,-2.62
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl,-2.62
O=N(=O)OC1COC2C(COC12)ON(=O)=O,-2.63
CCC(=O)C1=CC=C(N)C=C1,-2.63
CCCC(C)Cl,-2.63
C1CCCC1,-2.64
CN(C)CCN(CC1=CC=CC=C1)C1=NC=CC=C1,-2.64
CN(C)CCN(CC1=CC=CS1)C1=CC=CC=N1,-2.64
OC(=O)CC1=CC=CC2=C1C=CC=C2,-2.65
CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,-2.68
C=CCCC=C,-2.68
CCCC=C,-2.68
C1=CC2=C(N=C1)C1=C(C=C2)N=CC=C1,-2.68
CC(=O)NC1=CC=C(C=C1)N(=O)=O,-2.69
CC(Cl)C(C)(C)Cl,-2.69
CC(Cl)C(C)Cl,-2.7
NC1=CC=C(C=C1)C1=CC=C(N)C=C1,-2.7
NCCCCCCCCCCC(O)=O,-2.7
CCCCCCC(=O)OCC,-2.71
CCOC1=CC=C(C=C1)C(=O)OCCN(CC)CC,-2.71
CCCCOC(=O)C1=CC=C(O)C=C1,-2.72
OC(=O)C1=CC=CC=C1I,-2.73
CCC1=CC=CC(C)=C1N(C(C)COC)C(=O)CCl,-2.73
CCCCCCl,-2.73
CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,-2.74
CCCCCCCCC(O)=O,-2.75
NC1=C(Cl)C(=NC(Cl)=C1Cl)C(O)=O,-2.75
COC1=CC2=C(C=C1)N=CC=C2C(O)C1CC2CCN1CC2C=C,-2.76
S=C1NC=NC2=C1N=CC=N2,-2.77
C1=CC2=C(C=C1)C1=C(C=CC=C1)N=C2,-2.78
CC1=CC(O)=CC(C)=C1Cl,-2.8
CC1=C(C)C=CC=C1,-2.8
O=C(CN1C=CN=C1N(=O)=O)NCC1=CC=CC=C1,-2.81
CN1C(=O)ON(C1=O)C1=CC=C(Cl)C(Cl)=C1,-2.82
CC1=CC(C)=CC=C1,-2.82
CCC1C2CC3C4N(C)C5=C(C=CC=C5)C44CC(C2C4O)N3C1O,-2.82
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,-2.82
CC(=O)NC1=CC=C(Cl)C=C1,-2.84
CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1,-2.85
NC(CC1=CC(I)=C(O)C(I)=C1)C(O)=O,-2.86
CC1C2C(O)C3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)C2=C1C=CC=C2O,-2.87
NC1=C(Cl)C(=O)N(N=C1)C1=CC=CC=C1,-2.87
CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C(Cl)=CC=C1O)C3(C)O,-2.88
CN(C)C(=O)NC1=CC=C(Cl)C=C1,-2.89
CC(C)CCBr,-2.89
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,-2.91
OC1=CC=CC2=C1C=CC=C2O,-2.92
COC1=CC=C(CC=C)C=C1,-2.92
NC(=O)C1=CC=CC=C1C(N)=O,-2.92
COC1=CC(O)=C2C(=O)C3=CC(O)=CC=C3OC2=C1,-2.93
COC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC(OC)=N1,-2.96
CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,-2.98
CCOC(=O)C=CC1=CC=CC=C1,-3.0
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCCC1,-3.0
OC(=O)CCl,0.93
CCCCCCCCCO,-3.01
CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.01
CCCCCC#C,-3.01
CCCCC1=C(O)N=C(NCC)N=C1C,-3.02
CCN(CC)C1=CC=CC=C1,-3.03
CC(C)CC1=CC=C(C=C1)C(C)C(=O)NO,-3.04
NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O,-3.05
OC(C1CC2CCN1CC2C=C)C1=CC=NC2=C1C=CC=C2,-3.07
CCCCCBr,-3.07
OC1=CC=C(C(O)=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,-3.08
O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)C1=CC=NC2=CC=CC=C12,-3.09
CC1C2CCC3(C)C=CC(=O)C(C)=C3C2OC1=O,-3.09
CCC1=CC=C(C)C=C1,-3.11
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,-3.11
CCCCCCCl,-3.12
CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)C3(C)O,-3.12
CCCCN(CCCC)CCCC,-3.12
FC(F)(Cl)C(F)(F)Cl,-3.12
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,-3.13
COC1=CC=C(C=CC)C=C1,-3.13
FC1=CC=C(I)C=C1,-3.13
CN(C)C1C2C(O)C3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)C3(C)O,-3.14
BrC(Br)(Br)Br,-3.14
COC1=CC=C2C(OC(=O)C2=C1OC)C1N(C)CCC2=CC3=C(OCO3)C(OC)=C12,-3.14
CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,-3.14
CCNC1=NC(Cl)=NC(NC(C)(C)C#N)=N1,-3.15
O=C(NC1=CC=CC=C1)NC1=CC=CC=C1,-3.15
OC1=CC=CC=C1C(=O)OC1=CC=CC=C1,-3.15
CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Cl)=C1,-3.18
SC1=NC2=C(S1)C=CC=C2,-3.18
CCCCC,-3.18
CC1=CC=CC(C)=C1C,-3.2
ClC1=CC=CC(Br)=C1,-3.21
CCC1=CC=CC=C1C,-3.21
OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,-3.22
IC=CI,-3.22
CCCCC=C,-3.23
